"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"States"	"States Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Oregon"	"41"	271
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Pennsylvania"	"42"	946
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Rhode Island"	"44"	87
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"South Carolina"	"45"	236
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"South Dakota"	"46"	Missing
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Tennessee"	"47"	343
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Texas"	"48"	1348
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Utah"	"49"	131
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Vermont"	"50"	42
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Virginia"	"51"	413
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Washington"	"53"	428
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"West Virginia"	"54"	138
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Wisconsin"	"55"	391
	"Brain and Other Nervous System"	"31010-31040"	"2000"	"2000"	"Wyoming"	"56"	32
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Alabama"	"01"	301
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Alaska"	"02"	36
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Arizona"	"04"	337
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Arkansas"	"05"	151
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"California"	"06"	1998
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Colorado"	"08"	307
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Connecticut"	"09"	269
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Delaware"	"10"	68
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"District of Columbia"	"11"	34
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Florida"	"12"	1288
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Georgia"	"13"	499
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Hawaii"	"15"	68
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Idaho"	"16"	88
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Illinois"	"17"	794
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Indiana"	"18"	432
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Iowa"	"19"	244
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Kansas"	"20"	200
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Kentucky"	"21"	255
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Louisiana"	"22"	255
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Maine"	"23"	90
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Maryland"	"24"	299
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Massachusetts"	"25"	467
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Michigan"	"26"	711
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Minnesota"	"27"	330
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Mississippi"	"28"	Missing
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Missouri"	"29"	390
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Montana"	"30"	60
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Nebraska"	"31"	135
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Nevada"	"32"	122
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"New Hampshire"	"33"	100
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"New Jersey"	"34"	634
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"New Mexico"	"35"	89
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"New York"	"36"	1364
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"North Carolina"	"37"	518
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"North Dakota"	"38"	50
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Ohio"	"39"	830
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Oklahoma"	"40"	249
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Oregon"	"41"	254
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Pennsylvania"	"42"	910
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Rhode Island"	"44"	64
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"South Carolina"	"45"	250
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"South Dakota"	"46"	48
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Tennessee"	"47"	382
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Texas"	"48"	1390
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Utah"	"49"	132
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Vermont"	"50"	50
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Virginia"	"51"	360
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Washington"	"53"	428
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"West Virginia"	"54"	147
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Wisconsin"	"55"	410
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"Wyoming"	"56"	34
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Alabama"	"01"	308
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Alaska"	"02"	37
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Arizona"	"04"	360
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Arkansas"	"05"	150
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"California"	"06"	2105
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Colorado"	"08"	278
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Connecticut"	"09"	249
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Delaware"	"10"	48
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"District of Columbia"	"11"	26
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Florida"	"12"	1344
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Georgia"	"13"	511
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Hawaii"	"15"	56
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Idaho"	"16"	110
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Illinois"	"17"	762
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Indiana"	"18"	430
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Iowa"	"19"	228
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Kansas"	"20"	190
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Kentucky"	"21"	279
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Louisiana"	"22"	240
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Maine"	"23"	120
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Maryland"	"24"	382
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Massachusetts"	"25"	464
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Michigan"	"26"	739
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Minnesota"	"27"	367
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Mississippi"	"28"	Missing
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Missouri"	"29"	418
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Montana"	"30"	88
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Nebraska"	"31"	128
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Nevada"	"32"	143
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"New Hampshire"	"33"	86
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"New Jersey"	"34"	587
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"New Mexico"	"35"	108
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"New York"	"36"	1370
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"North Carolina"	"37"	564
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"North Dakota"	"38"	43
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Ohio"	"39"	829
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Oklahoma"	"40"	268
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Oregon"	"41"	265
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Pennsylvania"	"42"	970
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Rhode Island"	"44"	83
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"South Carolina"	"45"	283
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"South Dakota"	"46"	61
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Tennessee"	"47"	377
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Texas"	"48"	1426
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Utah"	"49"	150
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Vermont"	"50"	45
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Virginia"	"51"	381
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Washington"	"53"	474
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"West Virginia"	"54"	145
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Wisconsin"	"55"	399
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"Wyoming"	"56"	35
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Alabama"	"01"	300
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Alaska"	"02"	31
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Arizona"	"04"	336
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Arkansas"	"05"	186
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"California"	"06"	2166
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Colorado"	"08"	275
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Connecticut"	"09"	271
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Delaware"	"10"	43
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"District of Columbia"	"11"	29
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Florida"	"12"	1335
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Georgia"	"13"	507
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Hawaii"	"15"	53
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Idaho"	"16"	100
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Illinois"	"17"	802
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Indiana"	"18"	440
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Iowa"	"19"	225
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Kansas"	"20"	200
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Kentucky"	"21"	296
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Louisiana"	"22"	284
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Maine"	"23"	104
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Maryland"	"24"	377
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Massachusetts"	"25"	492
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Michigan"	"26"	706
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Minnesota"	"27"	314
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Mississippi"	"28"	172
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Missouri"	"29"	393
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Montana"	"30"	73
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Nebraska"	"31"	110
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Nevada"	"32"	152
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"New Hampshire"	"33"	97
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"New Jersey"	"34"	674
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"New Mexico"	"35"	92
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"New York"	"36"	1388
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"North Carolina"	"37"	557
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"North Dakota"	"38"	44
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Ohio"	"39"	813
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Oklahoma"	"40"	263
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Oregon"	"41"	283
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Pennsylvania"	"42"	941
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Rhode Island"	"44"	103
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"South Carolina"	"45"	271
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"South Dakota"	"46"	65
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Tennessee"	"47"	406
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Texas"	"48"	1450
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Utah"	"49"	142
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Vermont"	"50"	39
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Virginia"	"51"	477
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Washington"	"53"	467
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"West Virginia"	"54"	163
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Wisconsin"	"55"	383
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"Wyoming"	"56"	37
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Alabama"	"01"	317
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Alaska"	"02"	41
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Arizona"	"04"	412
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Arkansas"	"05"	182
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"California"	"06"	2148
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Colorado"	"08"	298
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Connecticut"	"09"	273
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Delaware"	"10"	69
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"District of Columbia"	"11"	31
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Florida"	"12"	1423
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Georgia"	"13"	539
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Hawaii"	"15"	56
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Idaho"	"16"	100
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Illinois"	"17"	853
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Indiana"	"18"	450
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Iowa"	"19"	234
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Kansas"	"20"	186
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Kentucky"	"21"	305
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Louisiana"	"22"	261
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Maine"	"23"	137
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Maryland"	"24"	356
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Massachusetts"	"25"	476
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Michigan"	"26"	759
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Minnesota"	"27"	336
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Mississippi"	"28"	182
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Missouri"	"29"	421
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Montana"	"30"	78
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Nebraska"	"31"	124
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Nevada"	"32"	164
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"New Hampshire"	"33"	108
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"New Jersey"	"34"	678
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"New Mexico"	"35"	124
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"New York"	"36"	1331
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"North Carolina"	"37"	587
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"North Dakota"	"38"	47
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Ohio"	"39"	824
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Oklahoma"	"40"	271
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Oregon"	"41"	285
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Pennsylvania"	"42"	1004
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Rhode Island"	"44"	99
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"South Carolina"	"45"	287
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"South Dakota"	"46"	64
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Tennessee"	"47"	430
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Texas"	"48"	1430
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Utah"	"49"	159
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Vermont"	"50"	41
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Virginia"	"51"	490
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Washington"	"53"	465
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"West Virginia"	"54"	164
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Wisconsin"	"55"	398
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"Wyoming"	"56"	40
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Alabama"	"01"	299
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Alaska"	"02"	38
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Arizona"	"04"	417
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Arkansas"	"05"	188
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"California"	"06"	2150
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Colorado"	"08"	321
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Connecticut"	"09"	264
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Delaware"	"10"	68
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"District of Columbia"	"11"	39
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Florida"	"12"	1470
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Georgia"	"13"	549
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Hawaii"	"15"	49
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Idaho"	"16"	127
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Illinois"	"17"	811
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Indiana"	"18"	438
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Iowa"	"19"	255
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Kansas"	"20"	193
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Kentucky"	"21"	291
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Louisiana"	"22"	255
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Maine"	"23"	110
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Maryland"	"24"	321
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Massachusetts"	"25"	485
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Michigan"	"26"	780
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Minnesota"	"27"	283
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Mississippi"	"28"	189
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Missouri"	"29"	438
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Montana"	"30"	86
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Nebraska"	"31"	141
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Nevada"	"32"	149
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"New Hampshire"	"33"	101
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"New Jersey"	"34"	653
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"New Mexico"	"35"	117
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"New York"	"36"	1382
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"North Carolina"	"37"	641
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"North Dakota"	"38"	60
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Ohio"	"39"	908
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Oklahoma"	"40"	260
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Oregon"	"41"	279
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Pennsylvania"	"42"	984
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Rhode Island"	"44"	86
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"South Carolina"	"45"	308
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"South Dakota"	"46"	45
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"Tennessee"	"47"	400
